epoch,lr,train_loss,train_iou,train_dice,train_precision,train_recall,val_loss,val_iou,val_dice,val_precision,val_recall
1,0.0001,0.7932557643937954,0.2540721293338019,0.3486574628352641,0.3541448287904734,0.6987935593469883,0.7395846413784339,0.2932060458173748,0.3882275399631252,0.4775297400954544,0.5782066193546672
2,0.0001,0.7656434209460893,0.2725108434222456,0.36842645825874576,0.3764715265092465,0.7097441945246484,0.7200418880484143,0.30341896608917496,0.4014395027589358,0.4487595013199664,0.6376692823699264
3,0.0001,0.7486343824636565,0.28209144166396016,0.3782915373868819,0.38697337549596844,0.7111235306165348,0.6893166275542291,0.3236981170723056,0.42152798151774296,0.41604092935103537,0.7396955474234018
4,0.0001,0.7318534547723013,0.2935620789173636,0.3899276807330626,0.40092009741108275,0.7184423625194215,0.6799221162180431,0.32463250756569084,0.4252076031121074,0.4185724932792001,0.7429898294513343
5,0.0001,0.7206088029011448,0.3022312033355382,0.3995307871025601,0.4041279072592931,0.7256098756568792,0.677402495482906,0.33562458175249765,0.4342328282760181,0.48003493459536467,0.6765715863372459
6,0.0001,0.7076195511438442,0.3067681867354834,0.4032113599470648,0.41718335836189085,0.7189834653609352,0.6659703768911909,0.33392917386973736,0.43525508477841124,0.4379365875158596,0.7078037261352187
7,0.0001,0.6982715866488707,0.31538090936495183,0.4119626472536413,0.42260573529440043,0.7186397179153414,0.6503403944680926,0.3494180787839454,0.4477936128635326,0.4309907372769915,0.7515276349836686
8,0.0001,0.6854503109380861,0.3195216037372845,0.4161704547346186,0.42662783719142766,0.7218675939269544,0.6494240230102031,0.3527633788586033,0.44873233549783015,0.4556363203933035,0.7502450148773486
9,0.0001,0.6784719715653269,0.32537057807906977,0.42337549143688885,0.4333250691874958,0.7211402604633549,0.6477054333100554,0.34949103922873637,0.44501472752587495,0.47439460943025524,0.7069791647620866
10,0.0001,0.6676897578362501,0.33324695748524297,0.43054445439248146,0.44173153836715384,0.7243402197939852,0.6514224435706608,0.35361547269629406,0.4537772332875394,0.446487289103374,0.7489243816340068
11,0.0001,0.649657916153041,0.3423485376898291,0.44038120645715634,0.45219560035249584,0.7237757864432901,0.6772426942088565,0.34342916270746765,0.4334882813095337,0.5504108906502179,0.5925251215134252
12,0.0001,0.6464940562947399,0.3448580331731676,0.44210048865058565,0.4537867748956255,0.7263901705801006,0.6521912647686043,0.3638362650431265,0.4624471190675605,0.4874904499996118,0.7205598570528577
13,0.0001,0.6406292460918976,0.3482172669209789,0.44515244272104865,0.45429104040045687,0.7294250493815476,0.6807567664712179,0.3686555970906753,0.46634649521991856,0.5373409931723517,0.6381450503087435
14,0.0001,0.6278082583757008,0.3542617425962884,0.4520188153643782,0.46582270277973703,0.7212019983459922,0.6365792331148367,0.3788314445047319,0.47601017155531855,0.5202593931729799,0.6997642799921823
